IPA	word
/ækts/	acts
/əˈbʌn.dn̩s/	abundance
/ˈæb.ət/	abbot
/əˈboʊd/	abode
/ˈæd.vəˌkə.si/	advocacy
/æbˈsɔɹ.bn̩t/	absorbent
/əˈdaptə/	adapter
/əbˈsɜːd/	absurd
/adˈmiɾe/	admire
/ˈæk.tɪŋz/	actings
/əˈbæn.dən/	abandon
[ˈekər]	acre
/əˑˈkjuː.zə/	accuser
/aˈkan.tʰus/	acanthus
/əˈdɛpt/	adept
/əˈbæn.dn̩.mn̩t/	abandonment
/ˈæk.tə/	actor
/əˈkwaɪɹd/	acquired
/ˈæ.bɹə.ɡət/	abrogate
/ab.doˈmen/	abdomen
/ˈæ.fɛkt/	affect
/əˈdɹɛs/	address
/ˌæk.ɹɪ.ˈmoʊ̯.ni.əs/	acrimonious
/əbˈsɜːd.ɪ.ti/	absurdity
/əˌfɪliˈeɪʃən/	affiliation
/əˈfo(ː)ɹd/	afford
/ˈæksɛs/	access
/ab.di.ka.sjɔ̃/	abdication
/ˈæb.səˌluːt/	absolute
/əbˈɛɹ.n̩t/	aberrant
/əˈbʌʊt/	about
/ə.ˈkleɪm/	acclaim
/əˈbɑm.ə.nə.bl̩/	abominable
/əˈdul/	adult
/ˈæd.ʌlt/	adult
/ˈeɪ.kɔɹn/	acorn
/abˈstrakt(ə)/	abstract
/ad.mi.ʁe/	admirer
/ə.do.ləˈsent/	adolescent
/ˈædˌmɪn/	admin
/əˈdoə̯/	adore
/ə.ˈkʌs.təmd/	accustomed
/æbˈd͡ʒɛkt.li/	abjectly
/ˈæk.jə.ɹɪt.li/	accurately
/əˈbjuːs/	abuse
/ˈeɪ.kəz/	acres
/ˈæb.seɪl/	abseil
/akˈʃən/	action
/adˈmonɪʃ/	admonish
/a.ka.deːˈmiː.a/	academia
/ˌæfɪˈdeɪvɪt/	affidavit
/ˈæ.dɪt/	adit
/ˌæd.mɚˈeɪʃ.ən/	admiration
/əˈfɛktɪd/	affected
/əˈbʌz/	abuzz
/a.dɔp.tjɔ̃/	adoptions
[administɾatoɾs]	administrators
/ˈæf.ə.bəl/	affable
/əˈkjuːmjʊˌleɪt/	accumulate
/əˈkɔ(ɹ).di.ˌən/	accordion
/apˈsuɾt/	absurd
/abˈd͡ʒɛkt.li/	abjectly
/əˈbil/	abele
/əˈbʌn.dn̩t/	abundant
/əˈbaɪ.dɪŋ/	abiding
/ədˈvɛnt͡ʃə/	adventure
/aˈdap.tɛr/	adapter
/æk/	act
/əˈdɹɪft/	adrift
/ədˈvaɪzd/	advised
/ˈæ.kə.laɪt/	acolyte
/ˈɑk.kent/	accent
/ad/	add
/əm.miˈɾa.blə/	admirable
/ædˈvɜː.sɪ.ti/	adversity
/ˈæd.vəɹ.taɪz/	advertise
/əˈdəʊ.bɪ, əˈdəʊb/	adobe
/ə.ˈkɔɹd.i.ə.nəst/	accordionist
/əˈkɐm.plɪʃ/	accomplish
/ˌæb.ɹəˈɡeɪ.ʃn̩/	abrogation
/ˈæk.tʃu.ə.li/	actually
[ˈaksɪdɛnt]	accident
/ak.sɛp.tabl/	acceptable
[ˈakər]	acre
/əˈdʌltəɹɚ/	adulterer
/əˈbɹɔːd/	abroad
/ˌæb.səˈlut.li/	absolutely
/əˈkɔːd/	accord
/ab.soˈlu.te/	absolute
/ədˈvaːns/	advance
/ə.bəˈran/	aberrant
/əˈdʒʌdʒ/	adjudge
/ə.ˈkɒm.plɪʃ.mənt/	accomplishment
/âerosoːl/	aerosol
/a.ky.pɔ̃k.tyʁ/	acupuncture
/əˈbɔːd/	aboard
/əˈdʌlt/	adult
/əkˈsɛsɹi/	accessory
/əˈdʒɜːn/	adjourn
/əˈfɛəz/	affairs
/ˈadvoket/	advocate
/əbˈhɒɹ.n̩s/	abhorrence
/əˈbleɪt/	ablate
/a.dɔ.ʁabl/	adorable
/əˈkjumən/	acumen
/əbˈzɔːb/	absorb
/ˈæd.və.s(ə)ɹi/	adversary
/ˈa.den/	aden
/æ.ˈbeɪ/	abbe
/aps.tiˈnent/	abstinent
/əˈbɹɔd/	abroad
/aʃ/	ache
/ˈaːvar/	afar
/ˈæk.tɚ/	actor
/ək.ˈsɛs.ə.bəl/	accessible
/əˈsɜ(ɹ)bɪk/	acerbic
/ˈæk.ɹɪd/	acrid
/æb.sənˈtiːˌɪz.m̩/	absenteeism
/ˈæ.dɪkt/	addict
/abomiˈnable/	abominable
/ˈɑɹd.ˌwʊlf/	aardwolf
/ədˈvɑːnst/	advanced
/ˈae̯.oːn/	aeon
/ədˈmaɪr/	admire
/ˌædəˈlɛsəns/	adolescence
/ˌɑk.tiˈvɪst/	activist
/æˈkwi.ɛsn̩t/	acquiescent
/əˈdæpt/	adapt
/əˈdɪktɪd/	addicted
/ədˈvæn.tɪdʒ/	advantage
/əˈbaɪ/	aby
/ɑdʋɛnt/	advent
/əˈdɔː(ɹ)n/	adorn
/æbˈstɹæk.tɪd.li/	abstractedly
/əˈbjuː.sɪv.li/	abusively
/ɛs/	ace
/a.bjɛs/	abies
/ədˌmɪnəˈstɹeɪʃən/	administration
/əbˈstɹæk.tɪd.li/	abstractedly
/ədˈzɔːb/	adsorb
/ə.ˌkɑm.ə.ˈdeɪ.ʃən/	accommodation
/apdomiˈnaːl/	abdominal
/əˈkjuːɪti/	acuity
/əd.ˈmaɪ.ɹɚz/	admirers
/ˈæb.dɪˌkeɪt/	abdicate
/abduɡˈtoɾ/	abductor
/əbˈsɔː.bn̩t/	absorbent
/əˈbɪz.ml̩.i/	abysmally
/ˈæd.əlz/	addles
/əd.diˈti.bəs/	additives
/əˈbaɪd/	abide
/ˈæ.bə.lɪʃn̩.ɪsts/	abolitionists
/adˈvɛnt/	advent
/æbˈd͡ʒɛkt/	abject
/ˈɛɹəˌnɑt/	aeronaut
[akˈti.ve]	active
/æd ˈənoʊ mʌ/	adenoma
/a.di.sjɔ̃/	additions
/ˈæf.lu.ənt/	affluent
/aɡsidenˈtal/	accidental
/absurd/	absurd
/æbˈsti.mi.əs.nəs/	abstemiousness
/ad.mi/	admit
/ˈabːɔt/	abbot
/ədˈmɪt.n̩s/	admittance
/ə.ˈbi/	abe
/a.bɑ̃.dɔ̃/	abandon
/əˈfɑː/	afar
/ˈækjʊmən/	acumen
/əb.du.miˈnal/	abdominal
/əbˈstɹuːs/	abstruse
/ˈæk.tʃʊ.ə.li/	actually
/ək.siˈdent/	accident
/adoˈɾable/	adorable
/æbˈsɝd/	absurd
/ˈæk(t)ʃ(əw)əl/	actual
/ab.dɔ.mi.nal/	abdominal
/ækt/	act
/əˈsɜː(ɹ)bɪk/	acerbic
/əˈfɛɹz/	affairs
/æbˈsɪsˌi/	abscissae
/ad.diˈti.ves/	additives
/əˈdɑpt.ʃn̩/	adoption
/ak(t)/	act
/aˈba.te/	abate
/a.kɔ.lit/	acolyte
/akʁ/	acre
/adɾeˈnal/	adrenal
/əd.bər.biˈal/	adverbial
/a.fabl/	affable
/ǎdʋent/	advent
/a.dɔ.ʁa.sjɔ̃/	adoration
/ˈab.sə.luːt.nəs/	absoluteness
/əˈsɜːbɪti/	acerbity
/əˈbɛt/	abet
/ædˈmɪʃ.ən/	admission
/a.djø/	adieux
/əˈkwɪt/	acquit
/ədˈmi.ɾəs/	admires
/æbˈhɔɹ/	abhor
/əˈbju.zɚ/	abuser
/a.dap.ta.sjɔ̃/	adaptation
/ak.seˈsi.ble/	accessible
/aɡtwaˈɾjal/	actuarial
/ə.ˌkaʊn.tə.ˈbɪl.ət.i/	accountability
/əˈkɹuːd/	accrued
/ˈadəmant/	adamant
/ə.ˈbiːm/	abeam
/əˈbjuːz/	abuse
/ʌˈfaɹ/	afar
/ˈæk.ni/	acne
/ˌæ.di.ˈɒs/	adios
/aseˈtal/	acetal
/ˈæbˌnɔɹ.ml̩/	abnormal
/ˈæ.fɪks/	affix
/a.dɔʁ/	adores
/ˈæbˌsɛs/	abscess
/əˈkɹɑstɪk/	acrostic
/ə.ˈkɹɛd.ɪt/	accredit
